按键记录日志 - 2025-03-17 20:25:13.573
2025-03-17 20:34:51.419 - g
2025-03-17 20:34:51.427 - n
2025-03-17 20:34:51.537 - x
2025-03-17 20:34:51.593 - i
2025-03-17 20:34:51.644 - a
2025-03-17 20:34:51.710 - n
2025-03-17 20:34:51.721 - g
2025-03-17 20:34:52.088 - Key.space
2025-03-17 20:34:52.208 - x
2025-03-17 20:34:52.267 - u
2025-03-17 20:34:52.331 - a
2025-03-17 20:34:52.417 - n
2025-03-17 20:34:52.474 - z
2025-03-17 20:34:52.750 - Key.space
2025-03-17 20:34:52.883 - ,
2025-03-17 20:34:53.245 - g
2025-03-17 20:34:53.304 - o
2025-03-17 20:34:53.395 - n
2025-03-17 20:34:53.435 - g
2025-03-17 20:34:53.539 - s
2025-03-17 20:34:53.607 - i
2025-03-17 20:34:53.683 - Key.space
2025-03-17 20:34:53.827 - y
2025-03-17 20:34:53.922 - o
2025-03-17 20:34:53.979 - u
2025-03-17 20:34:54.046 - q
2025-03-17 20:34:54.132 - i
2025-03-17 20:34:54.208 - a
2025-03-17 20:34:54.272 - n
2025-03-17 20:34:54.634 - Key.backspace
2025-03-17 20:34:54.776 - Key.backspace
2025-03-17 20:34:54.922 - Key.backspace
2025-03-17 20:34:55.157 - u
2025-03-17 20:34:55.236 - a
2025-03-17 20:34:55.308 - n
2025-03-17 20:34:55.422 - l
2025-03-17 20:34:55.505 - i
2025-03-17 20:34:55.651 - Key.space
2025-03-17 20:34:55.874 - m
2025-03-17 20:34:56.015 - i
2025-03-17 20:34:56.095 - a
2025-03-17 20:34:56.149 - n
2025-03-17 20:34:56.243 - w
2025-03-17 20:34:56.343 - a
2025-03-17 20:34:56.371 - n
2025-03-17 20:34:56.744 - Key.space
2025-03-17 20:34:57.010 - s
2025-03-17 20:34:57.066 - h
2025-03-17 20:34:57.209 - u
2025-03-17 20:34:57.252 - o
2025-03-17 20:34:57.342 - Key.space
2025-03-17 20:34:58.486 - Key.backspace
2025-03-17 20:34:59.011 - g
2025-03-17 20:34:59.091 - u
2025-03-17 20:34:59.151 - o
2025-03-17 20:34:59.282 - y
2025-03-17 20:35:00.303 - Key.backspace
2025-03-17 20:35:00.434 - Key.backspace
2025-03-17 20:35:00.573 - Key.backspace
2025-03-17 20:35:00.712 - Key.backspace
2025-03-17 20:35:00.923 - t
2025-03-17 20:35:01.002 - u
2025-03-17 20:35:01.070 - o
2025-03-17 20:35:01.280 - y
2025-03-17 20:35:01.361 - i
2025-03-17 20:35:01.498 - l
2025-03-17 20:35:01.574 - i
2025-03-17 20:35:01.626 - a
2025-03-17 20:35:01.722 - n
2025-03-17 20:35:01.734 - g
2025-03-17 20:35:01.842 - z
2025-03-17 20:35:01.904 - h
2025-03-17 20:35:01.954 - o
2025-03-17 20:35:02.035 - u
2025-03-17 20:35:03.206 - 2
2025-03-17 20:35:03.370 - c
2025-03-17 20:35:03.462 - a
2025-03-17 20:35:03.554 - i
2025-03-17 20:35:03.671 - s
2025-03-17 20:35:03.727 - h
2025-03-17 20:35:03.865 - u
2025-03-17 20:35:03.937 - o
2025-03-17 20:35:04.372 - Key.space
2025-03-17 20:35:04.690 - b
2025-03-17 20:35:04.793 - u
2025-03-17 20:35:04.910 - h
2025-03-17 20:35:04.971 - a
2025-03-17 20:35:05.026 - o
2025-03-17 20:35:05.146 - y
2025-03-17 20:35:05.222 - i
2025-03-17 20:35:05.319 - s
2025-03-17 20:35:05.471 - Key.space
2025-03-17 20:35:05.994 - w
2025-03-17 20:35:06.062 - o
2025-03-17 20:35:06.193 - m
2025-03-17 20:35:06.270 - e
2025-03-17 20:35:06.324 - n
2025-03-17 20:35:06.525 - y
2025-03-17 20:35:06.593 - o
2025-03-17 20:35:06.656 - u
2025-03-17 20:35:06.728 - Key.space
2025-03-17 20:35:06.924 - g
2025-03-17 20:35:06.939 - e
2025-03-17 20:35:07.005 - n
2025-03-17 20:35:07.352 - Key.backspace
2025-03-17 20:35:07.999 - n
2025-03-17 20:35:08.091 - g
2025-03-17 20:35:08.236 - h
2025-03-17 20:35:08.423 - e
2025-03-17 20:35:08.671 - Key.backspace
2025-03-17 20:35:08.796 - Key.backspace
2025-03-17 20:35:08.926 - Key.backspace
2025-03-17 20:35:09.069 - Key.backspace
2025-03-17 20:35:09.206 - Key.backspace
2025-03-17 20:35:09.349 - Key.backspace
2025-03-17 20:35:09.504 - Key.backspace
2025-03-17 20:35:10.224 - b
2025-03-17 20:35:10.275 - u
2025-03-17 20:35:10.419 - g
2025-03-17 20:35:10.467 - e
2025-03-17 20:35:10.547 - i
2025-03-17 20:35:10.644 - Key.space
2025-03-17 20:35:10.822 - o
2025-03-17 20:35:10.875 - f
2025-03-17 20:35:11.008 - f
2025-03-17 20:35:11.104 - e
2025-03-17 20:35:11.216 - r
2025-03-17 20:35:11.288 - Key.enter
2025-03-17 20:35:11.838 - ,
2025-03-17 20:35:12.371 - n
2025-03-17 20:35:12.460 - a
2025-03-17 20:35:12.663 - x
2025-03-17 20:35:12.750 - u
2025-03-17 20:35:12.812 - e
2025-03-17 20:35:12.913 - s
2025-03-17 20:35:13.129 - Key.space
2025-03-17 20:35:13.327 - j
2025-03-17 20:35:13.484 - u
2025-03-17 20:35:13.623 - j
2025-03-17 20:35:13.755 - u
2025-03-17 20:35:13.803 - e
2025-03-17 20:35:13.911 - Key.space
2025-03-17 20:35:14.071 - o
2025-03-17 20:35:14.636 - f
2025-03-17 20:35:15.031 - f
2025-03-17 20:35:15.201 - e
2025-03-17 20:35:15.273 - r
2025-03-17 20:35:15.333 - Key.enter
2025-03-17 20:35:15.845 - h
2025-03-17 20:35:15.892 - a
2025-03-17 20:35:15.985 - i
2025-03-17 20:35:16.078 - b
2025-03-17 20:35:16.622 - s
2025-03-17 20:35:16.849 - Key.space
2025-03-17 20:35:17.045 - h
2025-03-17 20:35:17.123 - e
2025-03-17 20:35:17.209 - n
2025-03-17 20:35:17.302 - z
2025-03-17 20:35:17.540 - c
2025-03-17 20:35:17.646 - Key.space
2025-03-17 20:35:18.065 - Key.shift
2025-03-17 20:35:18.169 - ?
2025-03-17 20:35:18.426 - Key.enter
2025-03-17 20:35:34.720 - Key.cmd
2025-03-17 20:35:34.863 - c
2025-03-17 20:35:36.781 - Key.cmd
2025-03-17 20:35:36.889 - v
2025-03-17 20:35:37.598 - Key.cmd
2025-03-17 20:35:37.710 - s
2025-03-17 20:35:52.201 - b
2025-03-17 20:35:52.296 - a
2025-03-17 20:35:52.375 - n
2025-03-17 20:35:52.427 - g
2025-03-17 20:35:52.536 - w
2025-03-17 20:35:52.633 - o
2025-03-17 20:35:52.767 - Key.space
2025-03-17 20:35:52.881 - f
2025-03-17 20:35:52.929 - e
2025-03-17 20:35:52.968 - n
2025-03-17 20:35:53.102 - x
2025-03-17 20:35:53.151 - i
2025-03-17 20:35:53.287 - y
2025-03-17 20:35:53.359 - i
2025-03-17 20:35:53.401 - x
2025-03-17 20:35:53.508 - Key.space
2025-03-17 20:35:53.618 - z
2025-03-17 20:35:53.703 - h
2025-03-17 20:35:53.735 - e
2025-03-17 20:35:53.822 - g
2025-03-17 20:35:53.858 - Key.space
2025-03-17 20:35:53.961 - h
2025-03-17 20:35:54.056 - o
2025-03-17 20:35:54.120 - u
2025-03-17 20:35:54.416 - t
2025-03-17 20:35:54.453 - a
2025-03-17 20:35:54.578 - i
2025-03-17 20:35:55.012 - Key.space
2025-03-17 20:35:55.123 - r
2025-03-17 20:35:55.171 - e
2025-03-17 20:35:55.206 - n
2025-03-17 20:35:55.326 - w
2025-03-17 20:35:55.426 - u
2025-03-17 20:35:55.517 - Key.space
2025-03-17 20:35:55.656 - h
2025-03-17 20:35:55.800 - u
2025-03-17 20:35:55.853 - i
2025-03-17 20:35:56.168 - b
2025-03-17 20:35:56.240 - u
2025-03-17 20:35:56.368 - h
2025-03-17 20:35:56.501 - Key.space
2025-03-17 20:35:57.123 - h
2025-03-17 20:35:57.207 - e
2025-03-17 20:35:57.278 - n
2025-03-17 20:35:57.418 - y
2025-03-17 20:35:57.490 - i
2025-03-17 20:35:57.635 - n
2025-03-17 20:35:57.642 - g
2025-03-17 20:35:57.776 - x
2025-03-17 20:35:58.236 - Key.space
2025-03-17 20:35:58.818 - x
2025-03-17 20:35:58.922 - i
2025-03-17 20:35:59.018 - n
2025-03-17 20:35:59.044 - g
2025-03-17 20:35:59.159 - n
2025-03-17 20:35:59.383 - Key.space
2025-03-17 20:35:59.517 - Key.shift
2025-03-17 20:35:59.601 - ?
2025-03-17 20:36:00.422 - z
2025-03-17 20:36:00.489 - h
2025-03-17 20:36:00.602 - a
2025-03-17 20:36:00.622 - n
2025-03-17 20:36:00.776 - y
2025-03-17 20:36:00.852 - o
2025-03-17 20:36:00.944 - n
2025-03-17 20:36:00.976 - g
2025-03-17 20:36:01.089 - z
2025-03-17 20:36:01.141 - i
2025-03-17 20:36:01.672 - y
2025-03-17 20:36:01.804 - u
2025-03-17 20:36:01.884 - a
2025-03-17 20:36:01.958 - n
2025-03-17 20:36:02.083 - Key.space
2025-03-17 20:36:02.159 - Key.shift
2025-03-17 20:36:02.259 - ?
2025-03-17 20:36:02.525 - Key.enter
2025-03-17 20:36:57.751 - z
2025-03-17 20:36:57.832 - h
2025-03-17 20:36:57.871 - e
2025-03-17 20:36:57.975 - g
2025-03-17 20:36:58.027 - Key.space
2025-03-17 20:36:58.168 - h
2025-03-17 20:36:58.261 - o
2025-03-17 20:36:58.325 - u
2025-03-17 20:36:58.492 - a
2025-03-17 20:36:58.544 - i
2025-03-17 20:36:58.608 - Key.space
2025-03-17 20:36:59.121 - Key.backspace
2025-03-17 20:36:59.247 - Key.backspace
2025-03-17 20:36:59.440 - h
2025-03-17 20:36:59.531 - o
2025-03-17 20:36:59.599 - u
2025-03-17 20:36:59.693 - t
2025-03-17 20:36:59.769 - a
2025-03-17 20:36:59.837 - i
2025-03-17 20:36:59.933 - Key.space
2025-03-17 20:37:00.037 - r
2025-03-17 20:37:00.084 - e
2025-03-17 20:37:00.116 - n
2025-03-17 20:37:00.224 - w
2025-03-17 20:37:00.308 - u
2025-03-17 20:37:00.391 - Key.space
2025-03-17 20:37:00.603 - d
2025-03-17 20:37:00.687 - Key.space
2025-03-17 20:37:00.955 - y
2025-03-17 20:37:01.084 - y
2025-03-17 20:37:01.153 - a
2025-03-17 20:37:01.233 - n
2025-03-17 20:37:01.589 - Key.backspace
2025-03-17 20:37:01.735 - Key.backspace
2025-03-17 20:37:01.850 - Key.backspace
2025-03-17 20:37:02.045 - u
2025-03-17 20:37:02.159 - a
2025-03-17 20:37:02.219 - n
2025-03-17 20:37:02.361 - l
2025-03-17 20:37:02.435 - i
2025-03-17 20:37:02.540 - Key.space
2025-03-17 20:37:02.676 - s
2025-03-17 20:37:02.972 - Key.space
2025-03-17 20:37:03.183 - s
2025-03-17 20:37:03.354 - m
2025-03-17 20:37:03.601 - Key.space
2025-03-17 20:37:03.738 - Key.shift
2025-03-17 20:37:03.815 - ?
2025-03-17 20:37:04.638 - q
2025-03-17 20:37:04.709 - i
2025-03-17 20:37:04.840 - n
2025-03-17 20:37:04.905 - g
2025-03-17 20:37:04.974 - Key.space
2025-03-17 20:37:07.340 - Key.backspace
2025-03-17 20:37:07.500 - Key.shift
2025-03-17 20:37:07.618 - (
2025-03-17 20:37:07.885 - s
2025-03-17 20:37:07.932 - h
2025-03-17 20:37:08.003 - e
2025-03-17 20:37:08.071 - j
2025-03-17 20:37:08.142 - i
2025-03-17 20:37:08.242 - d
2025-03-17 20:37:08.323 - a
2025-03-17 20:37:08.367 - o
2025-03-17 20:37:08.438 - Key.space
2025-03-17 20:37:08.587 - p
2025-03-17 20:37:08.843 - l
2025-03-17 20:37:08.991 - i
2025-03-17 20:37:09.068 - s
2025-03-17 20:37:09.239 - t
2025-03-17 20:37:09.391 - Key.enter
2025-03-17 20:37:10.685 - \
2025-03-17 20:37:11.701 - Key.shift
2025-03-17 20:37:11.778 - M
2025-03-17 20:37:12.138 - a
2025-03-17 20:37:12.287 - c
2025-03-17 20:37:12.477 - Key.shift
2025-03-17 20:37:12.775 - Key.shift
2025-03-17 20:37:12.898 - O
2025-03-17 20:37:12.965 - S
2025-03-17 20:37:13.186 - Key.shift
2025-03-17 20:37:13.392 - d
2025-03-17 20:37:13.592 - Key.space
2025-03-17 20:37:13.783 - j
2025-03-17 20:37:13.850 - i
2025-03-17 20:37:13.903 - z
2025-03-17 20:37:13.999 - h
2025-03-17 20:37:14.044 - i
2025-03-17 20:37:14.275 - Key.space
2025-03-17 20:37:14.408 - z
2025-03-17 20:37:14.428 - h
2025-03-17 20:37:14.492 - i
2025-03-17 20:37:14.775 - Key.backspace
2025-03-17 20:37:14.906 - Key.backspace
2025-03-17 20:37:15.040 - Key.backspace
2025-03-17 20:37:15.174 - Key.backspace
2025-03-17 20:37:15.695 - Key.backspace
2025-03-17 20:37:15.857 - j
2025-03-17 20:37:15.932 - i
2025-03-17 20:37:16.028 - z
2025-03-17 20:37:16.099 - h
2025-03-17 20:37:16.132 - i
2025-03-17 20:37:16.910 - 3
2025-03-17 20:37:17.084 - z
2025-03-17 20:37:17.136 - h
2025-03-17 20:37:17.186 - i
2025-03-17 20:37:17.339 - l
2025-03-17 20:37:17.403 - e
2025-03-17 20:37:17.439 - i
2025-03-17 20:37:17.589 - Key.space
2025-03-17 20:37:17.701 - d
2025-03-17 20:37:17.765 - Key.space
2025-03-17 20:37:18.155 - Key.shift
2025-03-17 20:37:18.399 - )
2025-03-17 20:37:18.610 - ,
2025-03-17 20:37:18.873 - q
2025-03-17 20:37:18.949 - i
2025-03-17 20:37:19.067 - n
2025-03-17 20:37:19.102 - g
2025-03-17 20:37:19.216 - Key.space
2025-03-17 20:37:19.640 - w
2025-03-17 20:37:19.707 - e
2025-03-17 20:37:19.751 - i
2025-03-17 20:37:19.873 - w
2025-03-17 20:37:19.941 - o
2025-03-17 20:37:20.005 - Key.space
2025-03-17 20:37:20.137 - z
2025-03-17 20:37:20.189 - o
2025-03-17 20:37:20.290 - n
2025-03-17 20:37:20.351 - g
2025-03-17 20:37:20.433 - j
2025-03-17 20:37:20.482 - i
2025-03-17 20:37:20.550 - e
2025-03-17 20:37:20.726 - c
2025-03-17 20:37:20.784 - h
2025-03-17 20:37:20.841 - u
2025-03-17 20:37:20.958 - Key.space
2025-03-17 20:37:21.077 - y
2025-03-17 20:37:21.141 - i
2025-03-17 20:37:21.193 - f
2025-03-17 20:37:21.235 - e
2025-03-17 20:37:21.301 - n
2025-03-17 20:37:21.409 - Key.space
2025-03-17 20:37:21.565 - x
2025-03-17 20:37:21.620 - i
2025-03-17 20:37:21.668 - a
2025-03-17 20:37:21.724 - n
2025-03-17 20:37:21.769 - g
2025-03-17 20:37:21.870 - x
2025-03-17 20:37:21.926 - i
2025-03-17 20:37:22.081 - Key.space
2025-03-17 20:37:22.156 - d
2025-03-17 20:37:22.239 - Key.space
2025-03-17 20:37:22.747 - j
2025-03-17 20:37:22.857 - i
2025-03-17 20:37:22.973 - s
2025-03-17 20:37:23.054 - h
2025-03-17 20:37:23.089 - u
2025-03-17 20:37:23.278 - w
2025-03-17 20:37:23.334 - e
2025-03-17 20:37:23.373 - n
2025-03-17 20:37:23.598 - d
2025-03-17 20:37:23.810 - a
2025-03-17 20:37:23.850 - n
2025-03-17 20:37:23.925 - g
2025-03-17 20:37:24.119 - Key.space
2025-03-17 20:37:24.315 - ,
2025-03-17 20:37:24.802 - w
2025-03-17 20:37:24.905 - o
2025-03-17 20:37:25.184 - Key.space
2025-03-17 20:37:25.904 - y
2025-03-17 20:37:26.087 - i
2025-03-17 20:37:26.236 - h
2025-03-17 20:37:26.314 - o
2025-03-17 20:37:26.399 - u
2025-03-17 20:37:26.461 - Key.space
2025-03-17 20:37:26.698 - r
2025-03-17 20:37:26.774 - u
2025-03-17 20:37:26.894 - g
2025-03-17 20:37:26.939 - u
2025-03-17 20:37:26.990 - o
2025-03-17 20:37:27.067 - Key.space
2025-03-17 20:37:27.183 - x
2025-03-17 20:37:27.237 - u
2025-03-17 20:37:27.366 - y
2025-03-17 20:37:27.430 - a
2025-03-17 20:37:27.490 - o
2025-03-17 20:37:27.562 - Key.space
2025-03-17 20:37:28.361 - x
2025-03-17 20:37:28.456 - i
2025-03-17 20:37:28.504 - a
2025-03-17 20:37:28.604 - n
2025-03-17 20:37:28.624 - g
2025-03-17 20:37:28.773 - b
2025-03-17 20:37:28.838 - i
2025-03-17 20:37:28.899 - e
2025-03-17 20:37:29.163 - r
2025-03-17 20:37:29.540 - Key.space
2025-03-17 20:37:29.691 - s
2025-03-17 20:37:29.727 - h
2025-03-17 20:37:29.883 - u
2025-03-17 20:37:29.906 - o
2025-03-17 20:37:30.070 - m
2025-03-17 20:37:30.361 - Key.space
2025-03-17 20:37:30.416 - z
2025-03-17 20:37:30.497 - h
2025-03-17 20:37:30.517 - e
2025-03-17 20:37:30.601 - g
2025-03-17 20:37:30.634 - Key.space
2025-03-17 20:37:31.003 - x
2025-03-17 20:37:31.097 - i
2025-03-17 20:37:31.161 - a
2025-03-17 20:37:31.225 - o
2025-03-17 20:37:31.339 - x
2025-03-17 20:37:31.382 - i
2025-03-17 20:37:31.451 - a
2025-03-17 20:37:31.507 - n
2025-03-17 20:37:31.579 - g
2025-03-17 20:37:31.730 - m
2025-03-17 20:37:31.922 - u
2025-03-17 20:37:32.076 - Key.space
